Estratégia de Vacinação contra HPV - 2015
Coberturas vacinais - HPV Quadrivalente D1 - CSV - Sexo feminino de 9 a 11 anos de idade 
UF;REGIONAL;NOM_MUN;09A-POP;09A-DOS;09A-COB;10A-POP;10A-DOS;10A-COB;11A-POP;11A-DOS;11A-COB;TOT-POP-09-11;TOT-DOS-09-11;TOT-COB-09-11
PE;DECIMA PRI GERES SERRA TALHADA;;2136;2608;122,10;2184;1998;91,48;2237;1386;61,96;6557;5992;91,38;
PE;;;78606;83743;106,54;80892;71219;88,04;83392;56978;68,33;242890;211940;87,26;
PI;PICOS;220800 - PICOS;611;439;71,85;632;472;74,68;656;304;46,34;1899;1215;63,98;
PI;PICOS;220520 - JAICOS;185;101;54,59;189;67;35,45;195;37;18,97;569;205;36,03;
PI;PICOS;220180 - BOCAINA;33;12;36,36;36;8;22,22;41;12;29,27;110;32;29,09;
PI;PICOS;220755 - PAQUETA;38;11;28,95;42;19;45,24;47;4;8,51;127;34;26,77;
PI;PICOS;220435 - GEMINIANO;46;3;6,52;48;0;0,00;51;3;5,88;145;6;4,14;
PI;PICOS;221093 - SUSSUAPARA;54;46;85,19;54;39;72,22;55;33;60,00;163;118;72,39;
PI;PICOS;220500 - ITAINOPOLIS;92;60;65,22;97;48;49,48;102;37;36,27;291;145;49,83;
PI;PICOS;221150 - VERA MENDES;28;8;28,57;30;3;10,00;33;8;24,24;91;19;20,88;
PI;PICOS;221170 - WALL FERRAZ;47;3;6,38;45;2;4,44;43;6;13,95;135;11;8,15;
PI;PICOS;220420 - FRANCISCO SANTOS;74;1;1,35;80;0;0,00;86;0;0,00;240;1;0,42;
PI;PICOS;220605 - MASSAPE DO PIAUI;65;39;60,00;66;27;40,91;67;22;32,84;198;88;44,44;
PI;PICOS;220935 - SANTANA DO PIAUI;41;9;21,95;43;12;27,91;44;7;15,91;128;28;21,88;
PI;PICOS;220095 - AROEIRAS DO ITAIM;17;8;47,06;19;7;36,84;22;2;9,09;58;17;29,31;
PI;PICOS;220480 - IPIRANGA DO PIAUI;88;47;53,41;91;37;40,66;95;18;18,95;274;102;37,23;
PI;PICOS;221020 - SAO JOSE DO PIAUI;61;37;60,66;62;23;37,10;61;27;44,26;184;87;47,28;
PI;PICOS;221037 - SAO LUIS DO PIAUI;27;4;14,81;28;3;10,71;29;1;3,45;84;8;9,52;
PI;PICOS;220340 - DOM EXPEDITO LOPES;56;44;78,57;59;47;79,66;63;36;57,14;178;127;71,35;
PI;PICOS;220650 - MONSENHOR HIPOLITO;65;63;96,92;64;64;100,00;64;31;48,44;193;158;81,87;
PI;PICOS;220910 - SANTA CRUZ DO PIAUI;55;52;94,55;57;44;77,19;59;38;64,41;171;134;78,36;
PI;PICOS;220213 - CAMPO GRANDE DO PIAUI;56;39;69,64;57;23;40,35;57;28;49,12;170;90;52,94;
PI;PICOS;220985 - SAO JOAO DA CANABRAVA;44;4;9,09;46;0;0,00;48;0;0,00;138;4;2,90;
PI;PICOS;220940 - SANTO ANTONIO DE LISBOA;55;14;25,45;57;5;8,77;58;5;8,62;170;24;14,12;
PI;PICOS;;1838;1044;56,80;1902;950;49,95;1976;659;33,35;5716;2653;46,41;
PI;BARRAS;220850 - PORTO;143;98;68,53;152;71;46,71;163;60;36,81;458;229;50,00;
PI;BARRAS;220120 - BARRAS;452;373;82,52;451;373;82,71;447;320;71,59;1350;1066;78,96;
PI;BARRAS;220150 - BATALHA;263;208;79,09;271;173;63,84;279;165;59,14;813;546;67,16;
PI;BARRAS;220585 - MADEIRO;82;47;57,32;82;43;52,44;82;12;14,63;246;102;41,46;
PI;BARRAS;220177 - BOA HORA;67;47;70,15;67;57;85,07;66;54;81,82;200;158;79,00;
PI;BARRAS;220580 - LUZILANDIA;224;31;13,84;227;18;7,93;231;15;6,49;682;64;9,38;
PI;BARRAS;220370 - ESPERANTINA;354;337;95,20;364;272;74,73;377;284;75,33;1095;893;81,55;
PI;BARRAS;220545 - JOCA MARQUES;47;17;36,17;46;2;4,35;45;11;24,44;138;30;21,74;
PI;BARRAS;220540 - JOAQUIM PIRES;148;89;60,14;146;67;45,89;143;49;34,27;437;205;46,91;
PI;BARRAS;220610 - MATIAS OLIMPIO;109;108;99,08;111;103;92,79;113;64;56,64;333;275;82,58;
PI;BARRAS;220205 - CABECEIRAS DO PIAUI;89;102;114,61;90;91;101,11;90;57;63,33;269;250;92,94;
PI;BARRAS;220997 - SAO JOAO DO ARRAIAL;77;61;79,22;76;57;75,00;75;24;32,00;228;142;62,28;
PI;BARRAS;220217 - CAMPO LARGO DO PIAUI;78;93;119,23;76;69;90,79;74;44;59,46;228;206;90,35;
PI;BARRAS;220667 - MORRO DO CHAPEU DO PIAUI;72;62;86,11;73;65;89,04;75;34;45,33;220;161;73,18;
PI;BARRAS;220680 - NOSSA SENHORA DOS REMEDIOS;92;43;46,74;93;42;45,16;95;41;43,16;280;126;45,00;
PI;BARRAS;;2297;1716;74,71;2325;1503;64,65;2355;1234;52,40;6977;4453;63,82;
PI;OEIRAS;220700 - OEIRAS;346;274;79,19;357;252;70,59;369;198;53,66;1072;724;67,54;
PI;OEIRAS;220490 - ISAIAS COELHO;84;66;78,57;91;59;64,84;98;42;42,86;273;167;61,17;
PI;OEIRAS;221097 - TANQUE DO PIAUI;25;42;168,00;26;30;115,38;28;19;67,86;79;91;115,19;
PI;OEIRAS;220277 - COLONIA DO PIAUI;73;74;101,37;76;50;65,79;80;35;43,75;229;159;69,43;
PI;OEIRAS;220210 - CAMPINAS DO PIAUI;50;5;10,00;52;3;5,77;55;4;7,27;157;12;7,64;
PI;OEIRAS;220385 - FLORESTA DO PIAUI;19;0;0;20;0;0;21;0;0;60;0;0;
PI;OEIRAS;221010 - SAO JOSE DO PEIXE;37;27;72,97;39;23;58,97;41;23;56,10;117;73;62,39;
PI;OEIRAS;220207 - CAJAZEIRAS DO PIAUI;34;12;35,29;34;24;70,59;35;25;71,43;103;61;59,22;
PI;OEIRAS;220937 - SANTA ROSA DO PIAUI;49;42;85,71;51;37;72,55;53;17;32,08;153;96;62,75;
PI;OEIRAS;220995 - SAO JOAO DA VARJOTA;46;51;110,87;47;31;65,96;48;26;54,17;141;108;76,60;
PI;OEIRAS;220950 - SANTO INACIO DO PIAUI;33;14;42,42;33;12;36,36;32;8;25,00;98;34;34,69;
PI;OEIRAS;221039 - SAO MIGUEL DO FIDALGO;34;22;64,71;35;14;40,00;36;8;22,22;105;44;41,90;
PI;OEIRAS;;830;629;75,78;861;535;62,14;896;405;45,20;2587;1569;60,65;
PI;URUCUI;221120 - URUCUI;209;237;113,40;214;160;74,77;220;162;73,64;643;559;86,94;
PI;URUCUI;220170 - BERTOLINIA;52;30;57,69;54;11;20,37;58;17;29,31;164;58;35,37;
PI;URUCUI;221063 - SEBASTIAO LEAL;40;5;12,50;40;6;15,00;39;3;7,69;119;14;11,76;
PI;URUCUI;220080 - ANTONIO ALMEIDA;30;19;63,33;31;24;77,42;33;20;60,61;94;63;67,02;
PI;URUCUI;220890 - RIBEIRO GONCALVES;77;36;46,75;79;37;46,84;82;20;24,39;238;93;39,08;
PI;URUCUI;220115 - BAIXA GRANDE DO RIBEIRO;131;50;38,17;131;52;39,69;130;42;32,31;392;144;36,73;
PI;URUCUI;;539;377;69,94;549;290;52,82;562;264;46,98;1650;931;56,42;
PI;VALENCA;220470 - INHUMA;132;63;47,73;137;55;40,15;143;25;17,48;412;143;34,71;
PI;VALENCA;220090 - AROAZES;51;54;105,88;52;44;84,62;53;32;60,38;156;130;83,33;
PI;VALENCA;220810 - PIMENTEIRAS;111;82;73,87;117;76;64,96;123;50;40,65;351;208;59,26;
PI;VALENCA;220400 - FRANCINOPOLIS;51;26;50,98;53;28;52,83;55;24;43,64;159;78;49,06;
PI;VALENCA;221140 - VARZEA GRANDE;42;33;78,57;42;25;59,52;41;35;85,37;125;93;74,40;
PI;VALENCA;220350 - ELESBAO VELOSO;113;85;75,22;114;75;65,79;116;74;63,79;343;234;68,22;
PI;VALENCA;220559 - LAGOA DO SITIO;45;46;102,22;46;36;78,26;46;20;43,48;137;102;74,45;
PI;VALENCA;220860 - PRATA DO PIAUI;29;24;82,76;29;15;51,72;30;10;33,33;88;49;55,68;
PI;VALENCA;221130 - VALENCA DO PIAUI;168;140;83,33;171;115;67,25;175;65;37,14;514;320;62,26;
PI;VALENCA;220117 - BARRA D'ALCANTARA;39;43;110,26;41;28;68,29;43;18;41,86;123;89;72,36;
PI;VALENCA;220960 - SAO FELIX DO PIAUI;22;24;109,09;23;17;73,91;25;13;52,00;70;54;77,14;
PI;VALENCA;220690 - NOVO ORIENTE DO PIAUI;58;30;51,72;61;26;42,62;63;30;47,62;182;86;47,25;
PI;VALENCA;220915 - SANTA CRUZ DOS MILAGRES;36;20;55,56;38;2;5,26;41;2;4,88;115;24;20,87;
PI;VALENCA;221038 - SAO MIGUEL DA BAIXA GRANDE;19;10;52,63;18;9;50,00;18;13;72,22;55;32;58,18;
PI;VALENCA;;916;680;74,24;942;551;58,49;972;411;42,28;2830;1642;58,02;
PI;AMARANTE;220100 - ARRAIAL;46;13;28,26;49;10;20,41;53;18;33,96;148;41;27,70;
PI;AMARANTE;220050 - AMARANTE;157;107;68,15;167;89;53,29;177;61;34,46;501;257;51,30;
PI;AMARANTE;220140 - BARRO DURO;58;68;117,24;59;45;76,27;60;24;40,00;177;137;77,40;
PI;AMARANTE;220020 - AGUA BRANCA;173;99;57,23;177;103;58,19;181;70;38,67;531;272;51,22;
PI;AMARANTE;220630 - MIGUEL LEAO;12;9;75,00;13;6;46,15;14;4;28,57;39;19;48,72;
PI;AMARANTE;220880 - REGENERACAO;155;105;67,74;159;113;71,07;164;92;56,10;478;310;64,85;
PI;AMARANTE;220010 - AGRICOLANDIA;46;49;106,52;50;46;92,00;54;21;38,89;150;116;77,33;
PI;AMARANTE;220460 - HUGO NAPOLEAO;38;46;121,05;39;30;76,92;40;7;17,50;117;83;70,94;
PI;AMARANTE;220060 - ANGICAL DO PIAUI;62;62;100,00;66;43;65,15;71;23;32,39;199;128;64,32;
PI;AMARANTE;220525 - JARDIM DO MULATO;38;41;107,89;41;32;78,05;45;29;64,44;124;102;82,26;
PI;AMARANTE;220554 - LAGOINHA DO PIAUI;22;1;4,55;23;0;0,00;24;0;0,00;69;1;1,45;
PI;AMARANTE;221050 - SAO PEDRO DO PIAUI;136;106;77,94;138;77;55,80;139;57;41,01;413;240;58,11;
PI;AMARANTE;220710 - OLHO D'AGUA DO PIAUI;30;11;36,67;31;17;54,84;32;6;18,75;93;34;36,56;
PI;AMARANTE;220980 - SAO GONCALO DO PIAUI;47;3;6,38;50;3;6,00;55;0;0,00;152;6;3,95;
PI;AMARANTE;220775 - PASSAGEM FRANCA DO PIAUI;42;19;45,24;43;14;32,56;45;12;26,67;130;45;34,62;
PI;AMARANTE;220945 - SANTO ANTONIO DOS MILAGRES;23;24;104,35;23;12;52,17;23;16;69,57;69;52;75,36;
PI;AMARANTE;;1085;763;70,32;1128;640;56,74;1177;440;37,38;3390;1843;54,37;
PI;CORRENTE;220440 - GILBUES;122;70;57,38;128;89;69,53;136;65;47,79;386;224;58,03;
PI;CORRENTE;220290 - CORRENTE;273;224;82,05;275;184;66,91;277;167;60,29;825;575;69,70;
PI;CORRENTE;220320 - CURIMATA;117;122;104,27;121;128;105,79;126;1;0,79;364;251;68,96;
PI;CORRENTE;220760 - PARNAGUA;117;57;48,72;119;59;49,58;121;43;35,54;357;159;44,54;
PI;CORRENTE;220885 - RIACHO FRIO;46;27;58,70;47;73;155,32;48;0;0,00;141;100;70,92;
PI;CORRENTE;220552 - JULIO BORGES;52;20;38,46;53;9;16,98;54;8;14,81;159;37;23,27;
PI;CORRENTE;220110 - AVELINO LOPES;112;53;47,32;114;52;45,61;114;50;43,86;340;155;45,59;
PI;CORRENTE;220920 - SANTA FILOMENA;72;53;73,61;75;56;74,67;78;22;28,21;225;131;58,22;
PI;CORRENTE;221062 - SEBASTIAO BARROS;35;17;48,57;36;25;69,44;38;22;57,89;109;64;58,72;
PI;CORRENTE;220130 - BARREIRAS DO PIAUI;40;17;42,50;40;21;52,50;39;10;25,64;119;48;40,34;
PI;CORRENTE;220300 - CRISTALANDIA DO PIAUI;84;14;16,67;80;15;18,75;76;25;32,89;240;54;22,50;
PI;CORRENTE;220660 - MONTE ALEGRE DO PIAUI;116;27;23,28;122;13;10,66;129;11;8,53;367;51;13,90;
PI;CORRENTE;220665 - MORRO CABECA NO TEMPO;49;14;28,57;51;21;41,18;51;29;56,86;151;64;42,38;
PI;CORRENTE;220975 - SAO GONCALO DO GURGUEIA;35;1;2,86;35;0;0,00;35;4;11,43;105;5;4,76;
PI;CORRENTE;;1270;716;56,38;1296;745;57,48;1322;457;34,57;3888;1918;49,33;
PI;FLORIANO;220785 - PAVUSSU;35;30;85,71;37;18;48,65;39;10;25,64;111;58;52,25;
PI;FLORIANO;220390 - FLORIANO;482;332;68,88;497;375;75,45;512;60;11,72;1491;767;51,44;
PI;FLORIANO;220510 - ITAUEIRA;91;89;97,80;95;72;75,79;99;37;37,37;285;198;69,47;
PI;FLORIANO;220450 - GUADALUPE;92;81;88,04;95;59;62,11;99;39;39,39;286;179;62,59;
PI;FLORIANO;220530 - JERUMENHA;42;23;54,76;43;29;67,44;46;20;43,48;131;72;54,96;
PI;FLORIANO;220225 - CANAVIEIRA;38;1;2,63;38;2;5,26;38;0;0,00;114;3;2,63;
PI;FLORIANO;220560 - LANDRI SALES;48;60;125,00;49;61;124,49;50;22;44,00;147;143;97,28;
PI;FLORIANO;220590 - MANOEL EMIDIO;53;69;130,19;57;54;94,74;62;40;64,52;172;163;94,77;
PI;FLORIANO;220360 - ELISEU MARTINS;37;21;56,76;39;18;46,15;42;16;38,10;118;55;46,61;
PI;FLORIANO;220600 - MARCOS PARENTE;36;57;158,33;38;42;110,53;41;15;36,59;115;114;99,13;
PI;FLORIANO;220380 - FLORES DO PIAUI;43;40;93,02;43;31;72,09;43;14;32,56;129;85;65,89;
PI;FLORIANO;220410 - FRANCISCO AYRES;35;19;54,29;37;16;43,24;39;16;41,03;111;51;45,95;
PI;FLORIANO;220670 - NAZARE DO PIAUI;69;58;84,06;73;39;53,42;77;14;18,18;219;111;50,68;
PI;FLORIANO;220275 - COLONIA DO GURGUEIA;62;75;120,97;66;46;69,70;70;22;31,43;198;143;72,22;
PI;FLORIANO;220900 - RIO GRANDE DO PIAUI;58;49;84,48;61;51;83,61;63;28;44,44;182;128;70,33;
PI;FLORIANO;220855 - PORTO ALEGRE DO PIAUI;29;21;72,41;30;20;66,67;31;19;61,29;90;60;66,67;
PI;FLORIANO;220970 - SAO FRANCISCO DO PIAUI;71;26;36,62;71;38;53,52;71;35;49,30;213;99;46,48;
PI;FLORIANO;;1321;1051;79,56;1369;971;70,93;1422;407;28,62;4112;2429;59,07;
PI;PARNAIBA;220270 - COCAL;293;308;105,12;301;288;95,68;308;189;61,36;902;785;87,03;
PI;PARNAIBA;220265 - CAXINGO;60;54;90,00;61;37;60,66;63;32;50,79;184;123;66,85;
PI;PARNAIBA;220770 - PARNAIBA;1259;1170;92,93;1307;1083;82,86;1361;654;48,05;3927;2907;74,03;
PI;PARNAIBA;220465 - ILHA GRANDE;92;11;11,96;93;12;12,90;94;0;0,00;279;23;8,24;
PI;PARNAIBA;220570 - LUIS CORREIA;274;193;70,44;280;192;68,57;286;122;42,66;840;507;60,36;
PI;PARNAIBA;220272 - COCAL DOS ALVES;60;47;78,33;60;51;85,00;58;55;94,83;178;153;85,96;
PI;PARNAIBA;220200 - BURITI DOS LOPES;192;213;110,94;197;198;100,51;203;150;73,89;592;561;94,76;
PI;PARNAIBA;220208 - CAJUEIRO DA PRAIA;72;48;66,67;75;47;62,67;77;25;32,47;224;120;53,57;
PI;PARNAIBA;220253 - CARAUBAS DO PIAUI;62;33;53,23;64;32;50,00;66;14;21,21;192;79;41,15;
PI;PARNAIBA;220669 - MURICI DOS PORTELAS;97;32;32,99;102;31;30,39;109;7;6,42;308;70;22,73;
PI;PARNAIBA;220191 - BOM PRINCIPIO DO PIAUI;59;47;79,66;61;43;70,49;64;41;64,06;184;131;71,20;
PI;PARNAIBA;;2520;2156;85,56;2601;2014;77,43;2689;1289;47,94;7810;5459;69,90;
PI;PIRIPIRI;220790 - PEDRO II;389;445;114,40;405;327;80,74;421;324;76,96;1215;1096;90,21;
PI;PIRIPIRI;220840 - PIRIPIRI;543;538;99,08;569;462;81,20;596;198;33,22;1708;1198;70,14;
PI;PIRIPIRI;220196 - BRASILEIRA;74;71;95,95;77;56;72,73;81;39;48,15;232;166;71,55;
PI;PIRIPIRI;220830 - PIRACURUCA;266;200;75,19;286;271;94,76;309;46;14,89;861;517;60,05;
PI;PIRIPIRI;220635 - MILTON BRANDAO;77;32;41,56;80;20;25,00;84;10;11,90;241;62;25,73;
PI;PIRIPIRI;220342 - DOMINGOS MOURAO;46;42;91,30;49;36;73,47;51;18;35,29;146;96;65,75;
PI;PIRIPIRI;220240 - CAPITAO DE CAMPOS;107;103;96,26;107;84;78,50;106;43;40,57;320;230;71,88;
PI;PIRIPIRI;221005 - SAO JOSE DO DIVINO;47;40;85,11;48;27;56,25;48;17;35,42;143;84;58,74;
PI;PIRIPIRI;220987 - SAO JOAO DA FRONTEIRA;70;95;135,71;71;52;73,24;72;41;56,94;213;188;88,26;
PI;PIRIPIRI;220557 - LAGOA DE SAO FRANCISCO;78;43;55,13;81;35;43,21;84;11;13,10;243;89;36,63;
PI;PIRIPIRI;;1697;1609;94,81;1773;1370;77,27;1852;747;40,33;5322;3726;70,01;
PI;TERESINA;220040 - ALTOS;345;363;105,22;360;234;65,00;376;160;42,55;1081;757;70,03;
PI;TERESINA;221110 - UNIAO;419;177;42,24;430;231;53,72;443;145;32,73;1292;553;42,80;
PI;TERESINA;220672 - NAZARIA;78;23;29,49;81;10;12,35;84;1;1,19;243;34;13,99;
PI;TERESINA;221100 - TERESINA;6530;4330;66,31;6771;3755;55,46;7055;2025;28,70;20356;10110;49,67;
PI;TERESINA;220750 - PALMEIRAIS;149;8;5,37;155;6;3,87;160;2;1,25;464;16;3,45;
PI;TERESINA;220779 - PAU D'ARCO;40;28;70,00;42;24;57,14;43;18;41,86;125;70;56,00;
PI;TERESINA;220160 - BENEDITINOS;94;76;80,85;98;56;57,14;103;35;33,98;295;167;56,61;
PI;TERESINA;220325 - CURRALINHOS;41;26;63,41;44;24;54,55;47;16;34,04;132;66;50,00;
PI;TERESINA;220555 - LAGOA ALEGRE;83;27;32,53;87;25;28,74;91;21;23,08;261;73;27,97;
PI;TERESINA;220620 - MIGUEL ALVES;368;75;20,38;383;71;18,54;400;75;18,75;1151;221;19,20;
PI;TERESINA;220640 - MONSENHOR GIL;94;142;151,06;97;106;109,28;101;69;68,32;292;317;108,56;
PI;TERESINA;220330 - DEMERVAL LOBAO;119;128;107,56;125;101;80,80;133;80;60,15;377;309;81,96;
PI;TERESINA;220558 - LAGOA DO PIAUI;36;66;183,33;37;59;159,46;40;42;105,00;113;167;147,79;
PI;TERESINA;220550 - JOSE DE FREITAS;335;159;47,46;348;138;39,66;362;107;29,56;1045;404;38,66;
PI;TERESINA;;8731;5628;64,46;9058;4840;53,43;9438;2796;29,62;27227;13264;48,72;
PI;BOM JESUS;220323 - CURRAIS;48;43;89,58;49;34;69,39;51;19;37,25;148;96;64,86;
PI;BOM JESUS;220190 - BOM JESUS;239;162;67,78;241;184;76,35;244;148;60,66;724;494;68,23;
PI;BOM JESUS;220930 - SANTA LUZ;59;49;83,05;58;54;93,10;58;34;58,62;175;137;78,29;
PI;BOM JESUS;220310 - CRISTINO CASTRO;102;112;109,80;106;72;67,92;110;57;51,82;318;241;75,79;
PI;BOM JESUS;220740 - PALMEIRA DO PIAUI;49;0;0,00;51;0;0,00;53;0;0,00;153;0;0,00;
PI;BOM JESUS;220045 - ALVORADA DO GURGUEIA;55;62;112,73;54;46;85,19;52;26;50,00;161;134;83,23;
PI;BOM JESUS;220870 - REDENCAO DO GURGUEIA;96;93;96,88;98;78;79,59;100;59;59,00;294;230;78,23;
PI;BOM JESUS;;648;521;80,40;657;468;71,23;668;343;51,35;1973;1332;67,51;
PI;FRONTEIRAS;220820 - PIO IX;166;156;93,98;174;103;59,20;181;110;60,77;521;369;70,83;
PI;FRONTEIRAS;221070 - SIMOES;150;88;58,67;154;70;45,45;158;36;22,78;462;194;41,99;
PI;FRONTEIRAS;220430 - FRONTEIRAS;103;81;78,64;106;71;66,98;110;30;27,27;319;182;57,05;
PI;FRONTEIRAS;221030 - SAO JULIAO;50;34;68,00;53;33;62,26;57;23;40,35;160;90;56,25;
PI;FRONTEIRAS;220595 - MARCOLANDIA;85;85;100,00;88;83;94,32;92;47;51,09;265;215;81,13;
PI;FRONTEIRAS;220720 - PADRE MARCOS;60;29;48,33;64;33;51,56;69;20;28,99;193;82;42,49;
PI;FRONTEIRAS;220157 - BELEM DO PIAUI;28;18;64,29;29;18;62,07;30;17;56,67;87;53;60,92;
PI;FRONTEIRAS;220415 - FRANCISCO MACEDO;28;25;89,29;29;17;58,62;30;21;70,00;87;63;72,41;
PI;FRONTEIRAS;220027 - ALEGRETE DO PIAUI;45;50;111,11;46;37;80,43;47;17;36,17;138;104;75,36;
PI;FRONTEIRAS;220025 - ALAGOINHA DO PIAUI;60;59;98,33;60;38;63,33;61;31;50,82;181;128;70,72;
PI;FRONTEIRAS;221160 - VILA NOVA DO PIAUI;23;15;65,22;25;16;64,00;28;7;25,00;76;38;50,00;
PI;FRONTEIRAS;220209 - CALDEIRAO GRANDE DO PIAUI;60;54;90,00;62;44;70,97;64;25;39,06;186;123;66,13;
PI;FRONTEIRAS;;858;694;80,89;890;563;63,26;927;384;41,42;2675;1641;61,35;
PI;PAULISTANA;220005 - ACAUA;69;37;53,62;71;30;42,25;74;33;44,59;214;100;46,73;
PI;PAULISTANA;220780 - PAULISTANA;212;166;78,30;212;150;70,75;211;72;34,12;635;388;61,10;
PI;PAULISTANA;220865 - QUEIMADA NOVA;86;93;108,14;89;68;76,40;93;33;35,48;268;194;72,39;
PI;PAULISTANA;220777 - PATOS DO PIAUI;53;52;98,11;55;34;61,82;56;27;48,21;164;113;68,90;
PI;PAULISTANA;220173 - BETANIA DO PIAUI;70;60;85,71;72;50;69,44;75;36;48,00;217;146;67,28;
PI;PAULISTANA;220255 - CARIDADE DO PIAUI;52;24;46,15;50;16;32,00;48;22;45,83;150;62;41,33;
PI;PAULISTANA;220515 - JACOBINA DO PIAUI;53;20;37,74;53;18;33,96;53;14;26,42;159;52;32,70;
PI;PAULISTANA;220280 - CONCEICAO DO CANINDE;42;28;66,67;45;20;44,44;49;19;38,78;136;67;49,26;
PI;PAULISTANA;220327 - CURRAL NOVO DO PIAUI;55;44;80,00;57;20;35,09;60;43;71,67;172;107;62,21;
PI;PAULISTANA;220965 - SAO FRANCISCO DE ASSIS DO PIAUI;61;48;78,69;62;48;77,42;63;40;63,49;186;136;73,12;
PI;PAULISTANA;;753;572;75,96;766;454;59,27;782;339;43,35;2301;1365;59,32;
PI;CAMPO MAIOR;220273 - COIVARAS;34;14;41,18;35;17;48,57;37;4;10,81;106;35;33,02;
PI;CAMPO MAIOR;220030 - ALTO LONGA;108;99;91,67;114;95;83,33;120;66;55,00;342;260;76,02;
PI;CAMPO MAIOR;220220 - CAMPO MAIOR;365;238;65,21;379;190;50,13;395;135;34,18;1139;563;49,43;
PI;CAMPO MAIOR;220271 - COCAL DE TELHA;44;57;129,55;46;46;100,00;48;39;81,25;138;142;102,90;
PI;CAMPO MAIOR;220527 - JATOBA DO PIAUI;38;34;89,47;38;18;47,37;39;20;51,28;115;72;62,61;
PI;CAMPO MAIOR;220260 - CASTELO DO PIAUI;177;151;85,31;186;117;62,90;197;75;38,07;560;343;61,25;
PI;CAMPO MAIOR;220105 - ASSUNCAO DO PIAUI;86;80;93,02;90;72;80,00;94;43;45,74;270;195;72,22;
PI;CAMPO MAIOR;220202 - BURITI DOS MONTES;84;58;69,05;88;51;57,95;92;29;31,52;264;138;52,27;
PI;CAMPO MAIOR;220551 - JUAZEIRO DO PIAUI;51;32;62,75;54;38;70,37;57;27;47,37;162;97;59,88;
PI;CAMPO MAIOR;220990 - SAO JOAO DA SERRA;58;16;27,59;60;19;31,67;63;9;14,29;181;44;24,31;
PI;CAMPO MAIOR;221065 - SIGEFREDO PACHECO;85;86;101,18;87;74;85,06;90;37;41,11;262;197;75,19;
PI;CAMPO MAIOR;220194 - BOQUEIRAO DO PIAUI;61;50;81,97;61;46;75,41;60;43;71,67;182;139;76,37;
PI;CAMPO MAIOR;220695 - NOVO SANTO ANTONIO;31;25;80,65;33;22;66,67;36;12;33,33;100;59;59,00;
PI;CAMPO MAIOR;221040 - SAO MIGUEL DO TAPUIO;176;151;85,80;177;133;75,14;177;104;58,76;530;388;73,21;
PI;CAMPO MAIOR;220675 - NOSSA SENHORA DE NAZARE;35;23;65,71;37;16;43,24;39;13;33,33;111;52;46,85;
PI;CAMPO MAIOR;;1433;1114;77,74;1485;954;64,24;1544;656;42,49;4462;2724;61,05;
PI;SAO JOAO DO PIAUI;220535 - JOAO COSTA;28;25;89,29;26;17;65,38;25;12;48,00;79;54;68,35;
PI;SAO JOAO DO PIAUI;220730 - PAES LANDIM;43;28;65,12;44;41;93,18;45;15;33,33;132;84;63,64;
PI;SAO JOAO DO PIAUI;220198 - BREJO DO PIAUI;41;37;90,24;42;33;78,57;42;10;23,81;125;80;64,00;
PI;SAO JOAO DO PIAUI;220735 - PAJEU DO PIAUI;30;22;73,33;31;25;80,65;31;21;67,74;92;68;73,91;
PI;SAO JOAO DO PIAUI;220230 - CANTO DO BURITI;204;93;45,59;204;93;45,59;204;55;26,96;612;241;39,38;
PI;SAO JOAO DO PIAUI;220795 - NOVA SANTA RITA;48;47;97,92;45;40;88,89;41;28;68,29;134;115;85,82;
PI;SAO JOAO DO PIAUI;220793 - PEDRO LAURENTINO;26;24;92,31;26;11;42,31;27;15;55,56;79;50;63,29;
PI;SAO JOAO DO PIAUI;220887 - RIBEIRA DO PIAUI;43;15;34,88;46;11;23,91;51;8;15,69;140;34;24,29;
PI;SAO JOAO DO PIAUI;221080 - SIMPLICIO MENDES;107;45;42,06;112;30;26,79;118;25;21,19;337;100;29,67;
PI;SAO JOAO DO PIAUI;221090 - SOCORRO DO PIAUI;43;16;37,21;45;19;42,22;48;7;14,58;136;42;30,88;
PI;SAO JOAO DO PIAUI;221000 - SAO JOAO DO PIAUI;196;138;70,41;192;177;92,19;185;97;52,43;573;412;71,90;
PI;SAO JOAO DO PIAUI;221095 - TAMBORIL DO PIAUI;27;29;107,41;29;16;55,17;32;18;56,25;88;63;71,59;
PI;SAO JOAO DO PIAUI;220155 - BELA VISTA DO PIAUI;41;18;43,90;42;18;42,86;42;12;28,57;125;48;38,40;
PI;SAO JOAO DO PIAUI;220211 - CAMPO ALEGRE DO FIDALGO;46;42;91,30;46;24;52,17;47;25;53,19;139;91;65,47;
PI;SAO JOAO DO PIAUI;220556 - LAGOA DO BARRO DO PIAUI;44;24;54,55;45;19;42,22;45;19;42,22;134;62;46,27;
PI;SAO JOAO DO PIAUI;220245 - CAPITAO GERVASIO OLIVEIRA;41;32;78,05;40;39;97,50;38;40;105,26;119;111;93,28;
PI;SAO JOAO DO PIAUI;;1008;635;63,00;1015;613;60,39;1021;407;39,86;3044;1655;54,37;
PI;SAO RAIMUNDO NONATO;220553 - JUREMA;42;19;45,24;41;22;53,66;39;5;12,82;122;46;37,70;
PI;SAO RAIMUNDO NONATO;220250 - CARACOL;108;65;60,19;109;47;43,12;109;44;40,37;326;156;47,85;
